Sequence Length,Hidden Size,Loss Vector,Accuracy
5,22,"[1.0458524227142334, 1.3029518127441406, 1.2555837631225586, 1.3112432956695557, 1.31187105178833, 1.311663269996643, 1.3126885890960693, 1.3130888938903809, 1.312604308128357, 1.3131762742996216]",0.845
5,23,"[0.3298652470111847, 0.3152478039264679, 0.31614333391189575, 0.3139813244342804, 0.6928815245628357, 0.692685067653656, 0.31387829780578613, 0.31340813636779785, 0.3139612078666687, 0.3132900595664978]",0.82
5,24,"[0.5053002834320068, 0.32350167632102966, 0.31650304794311523, 0.31437984108924866, 0.313459187746048, 0.3133523762226105, 0.31336185336112976, 0.31329938769340515, 0.3133050501346588, 0.31330087780952454]",0.845
5,25,"[0.7474515438079834, 0.701881468296051, 0.6981548070907593, 0.6948788166046143, 0.6938552856445312, 0.6942579746246338, 0.6933332681655884, 0.6932798624038696, 0.6932658553123474, 0.6932422518730164]",0.875
5,26,"[0.74710613489151, 0.7101420760154724, 0.6998308897018433, 0.7009596824645996, 0.694773256778717, 0.6966170072555542, 0.6939378976821899, 0.6935669183731079, 0.6934091448783875, 0.6933569312095642]",0.83
6,2,"[0.8112877607345581, 0.7756638526916504, 0.7589554190635681, 0.7518013119697571, 0.7508228421211243, 0.7399996519088745, 0.7234376668930054, 0.723131000995636, 0.7092849016189575, 0.7119734287261963]",0.7
6,3,"[0.5546350479125977, 0.5557172894477844, 0.5653089284896851, 0.5753971934318542, 0.5637128353118896, 0.5316109657287598, 0.5194438099861145, 0.4715377390384674, 0.4684309959411621, 0.43316781520843506]",0.7
6,4,"[0.5675835013389587, 0.6031052470207214, 0.6033166646957397, 0.6259775161743164, 0.6269317269325256, 0.5695110559463501, 0.4900650978088379, 0.37378260493278503, 0.34088361263275146, 0.3435434401035309]",0.835
6,5,"[0.5158082246780396, 0.48118487000465393, 0.38493019342422485, 0.3414764404296875, 0.3251407742500305, 0.32360416650772095, 0.32543301582336426, 0.3191349506378174, 0.332322359085083, 0.3230401575565338]",0.79
6,6,"[0.5283693075180054, 0.4677385091781616, 0.3545021712779999, 0.3503514528274536, 0.3414459228515625, 0.3300732374191284, 0.3623809218406677, 0.47207149863243103, 0.3178856074810028, 0.3259693384170532]",0.85
6,7,"[0.8281616568565369, 0.7689950466156006, 0.7287971377372742, 0.7190064787864685, 0.7269846200942993, 0.7065674662590027, 0.705167829990387, 0.6997750997543335, 0.7001491785049438, 0.698964536190033]",0.86
6,8,"[0.8662453293800354, 0.7462010383605957, 0.7061450481414795, 0.6978696584701538, 0.6958613991737366, 0.6946861743927002, 0.6936899423599243, 0.6935750842094421, 0.6933169960975647, 0.6934038996696472]",0.87
6,9,"[0.7767350673675537, 0.7141839861869812, 0.6974237561225891, 0.6953145861625671, 0.6938356757164001, 0.6937440037727356, 0.6933708190917969, 0.6932480931282043, 0.6932217478752136, 0.6932419538497925]",0.85
6,10,"[0.7756491303443909, 0.7116298675537109, 0.6958990693092346, 0.69407719373703, 0.6941616535186768, 0.6937444806098938, 0.6934886574745178, 0.6933770179748535, 0.6932168006896973, 0.6932341456413269]",0.88
6,11,"[0.35446897149086, 0.335845410823822, 0.31837812066078186, 0.31581124663352966, 0.3172541558742523, 0.31447166204452515, 0.3142327070236206, 0.31391608715057373, 0.31357672810554504, 0.31346067786216736]",0.86
6,12,"[0.8389431238174438, 0.7277762293815613, 0.7027977108955383, 0.7070180773735046, 0.6978680491447449, 0.6954895257949829, 0.6964573860168457, 0.6941170692443848, 0.6958344578742981, 0.6934507489204407]",0.885
6,13,"[0.7334258556365967, 0.6972046494483948, 0.6945173144340515, 0.6937349438667297, 0.6935276389122009, 0.693253219127655, 0.6932153105735779, 0.6932514905929565, 0.6931656002998352, 0.6931745409965515]",0.89
6,14,"[0.3314255475997925, 0.32024070620536804, 0.318056583404541, 0.3157060444355011, 0.3143433630466461, 0.3149057626724243, 0.3140615224838257, 0.3140529990196228, 0.31343305110931396, 0.3133161962032318]",0.865
6,15,"[0.3944719731807709, 0.36156049370765686, 0.3591783940792084, 0.314607709646225, 0.314668208360672, 0.3144197165966034, 0.31407231092453003, 0.31337806582450867, 0.31334295868873596, 0.3133326768875122]",0.895
6,16,"[0.8438564538955688, 0.7190013527870178, 0.7150935530662537, 0.7069132328033447, 0.7008422613143921, 0.6947304606437683, 0.7035698294639587, 0.6946715712547302, 0.6945278644561768, 0.6933339238166809]",0.865
6,17,"[0.7709846496582031, 0.6984362602233887, 0.6942422986030579, 0.6936126351356506, 0.693375289440155, 0.6932602524757385, 0.6932221055030823, 0.6931671500205994, 0.6931784749031067, 0.6931553483009338]",0.885
6,18,"[0.3330184817314148, 0.3345409631729126, 0.31423184275627136, 0.31465089321136475, 0.31491464376449585, 0.3135860562324524, 0.31394362449645996, 0.3134584128856659, 0.313387393951416, 0.3133867084980011]",0.865
6,19,"[0.359912633895874, 0.3193536698818207, 0.3184073269367218, 0.32152366638183594, 0.3159818649291992, 0.31397339701652527, 0.31344613432884216, 0.3134981393814087, 0.3133549094200134, 0.31340786814689636]",0.875
6,20,"[0.4326930046081543, 0.31649070978164673, 0.3151664733886719, 0.3184647262096405, 0.3140653669834137, 0.31350231170654297, 0.31337258219718933, 0.3133269250392914, 0.3132963180541992, 0.31331220269203186]",0.825
6,21,"[0.6710081696510315, 0.6140295267105103, 0.31631582975387573, 0.3166157901287079, 0.315103679895401, 0.48657169938087463, 0.31436392664909363, 0.31373658776283264, 0.3134145736694336, 0.3136930465698242]",0.87
6,22,"[0.7183077335357666, 0.701042652130127, 0.6944846510887146, 0.6935073733329773, 0.6933122873306274, 0.6932752728462219, 0.6932083368301392, 0.69319748878479, 0.6931829452514648, 0.693157970905304]",0.845
6,23,"[0.7023308873176575, 0.6942885518074036, 0.693485677242279, 0.6932611465454102, 0.6933314800262451, 0.6932064294815063, 0.6931745409965515, 0.6931596398353577, 0.6931537389755249, 0.6931522488594055]",0.86
6,24,"[0.3232344090938568, 0.31541940569877625, 0.3165588974952698, 0.3137566149234772, 0.31385278701782227, 0.3135145306587219, 0.3133785128593445, 0.3133595883846283, 0.31332117319107056, 0.6931432485580444]",0.48
6,25,"[0.3273918032646179, 0.3167702853679657, 0.3140921890735626, 0.6930005550384521, 0.6928366422653198, 0.692817747592926, 0.31341901421546936, 0.6930514574050903, 0.6930469274520874, 0.6928959488868713]",0.475
6,26,"[0.3178752064704895, 0.3183176815509796, 0.31368544697761536, 0.313399076461792, 0.3133595883846283, 0.3134181499481201, 0.3133867084980011, 0.3133082687854767, 0.31329527497291565, 0.31328150629997253]",0.845
7,2,"[0.9784115552902222, 0.9166093468666077, 0.8729046583175659, 0.8467549681663513, 0.8126755952835083, 0.8030969500541687, 0.7798635959625244, 0.7586497068405151, 0.767402172088623, 0.7470802068710327]",0.5
7,3,"[0.5793060064315796, 0.6075171828269958, 0.6327257752418518, 0.6450212597846985, 0.650380551815033, 0.6544607877731323, 0.6377687454223633, 0.6051962375640869, 0.5703124403953552, 0.5166140794754028]",0.64
