Sequence Length,Hidden Size,Loss Vector,Accuracy
2000,12,"[0.7098382711410522, 0.6954075694084167, 0.6937222480773926, 0.6937243342399597, 0.6933562755584717, 0.6932888627052307, 0.6932502388954163, 0.693237841129303, 0.6932386755943298, 0.6931952834129333]",1.0
2000,14,"[0.32654422521591187, 0.31656402349472046, 0.3140255808830261, 0.3141496479511261, 0.3155301809310913, 0.3139033913612366, 0.31356504559516907, 0.31360581517219543, 0.3134254813194275, 0.3133314549922943]",1.0
2000,16,"[0.7037668228149414, 0.6951485872268677, 0.6940495371818542, 0.6937191486358643, 0.6937218308448792, 0.6933295130729675, 0.6932635307312012, 0.6932172775268555, 0.6931884288787842, 0.693183422088623]",1.0
2000,18,"[0.33960142731666565, 0.3153696358203888, 0.31406369805336, 0.31401094794273376, 0.31348028779029846, 0.31345275044441223, 0.31332752108573914, 0.3133280575275421, 0.31331026554107666, 0.3132789731025696]",1.0
2000,20,"[0.3202514350414276, 0.3150683641433716, 0.31391966342926025, 0.31354352831840515, 0.3133263885974884, 0.31333816051483154, 0.3132939636707306, 0.31328490376472473, 0.3132858872413635, 0.31327036023139954]",0.835
2000,22,"[0.7394348978996277, 0.6997745633125305, 0.6956400275230408, 0.7227134108543396, 0.7016685009002686, 0.69890958070755, 0.6956560611724854, 0.6951404809951782, 0.6949894428253174, 0.6942238211631775]",0.835
2000,24,"[0.7164515852928162, 0.6992589831352234, 0.6999883651733398, 0.6959927678108215, 0.6944501996040344, 0.6945382356643677, 0.6939114332199097, 0.693522036075592, 0.6933226585388184, 0.6932480931282043]",1.0
4000,2,"[0.4495489001274109, 0.4152168929576874, 0.3717471659183502, 0.3541785478591919, 0.3443663418292999, 0.3390361964702606, 0.333842396736145, 0.3299649953842163, 0.3239544630050659, 0.3182201385498047]",0.965
4000,4,"[0.9506869912147522, 0.7714227437973022, 0.7217764854431152, 0.7043222188949585, 0.6982724070549011, 0.6960561871528625, 0.6955687999725342, 0.6950172185897827, 0.694379985332489, 0.6935681700706482]",1.0
4000,6,"[0.37001538276672363, 0.3301985263824463, 0.31902116537094116, 0.3160625994205475, 0.3147897720336914, 0.3151640295982361, 0.3137775957584381, 0.31370460987091064, 0.3134837746620178, 0.31341275572776794]",0.98
4000,8,"[0.3835562765598297, 0.32674869894981384, 0.3214683532714844, 0.3188418745994568, 0.3161389231681824, 0.3148534595966339, 0.31509846448898315, 0.314206600189209, 0.31385183334350586, 0.31375592947006226]",1.0
4000,10,"[0.7188848853111267, 0.6987299919128418, 0.6946159601211548, 0.6939707398414612, 0.6935205459594727, 0.6935004591941833, 0.6934388875961304, 0.6933607459068298, 0.6932929754257202, 0.6931915283203125]",1.0
4000,12,"[0.3406142294406891, 0.3161078989505768, 0.31456586718559265, 0.31405988335609436, 0.3136422336101532, 0.3135727345943451, 0.31343749165534973, 0.3133588135242462, 0.31334635615348816, 0.3133203983306885]",1.0
4000,14,"[0.724175214767456, 0.69980788230896, 0.6949505805969238, 0.6942512392997742, 0.6938826441764832, 0.6933677196502686, 0.693422794342041, 0.6933416128158569, 0.6932289004325867, 0.6932103633880615]",1.0
4000,16,"[0.3182121515274048, 0.31473782658576965, 0.3142828643321991, 0.31418517231941223, 0.31376028060913086, 0.3135242760181427, 0.3134162425994873, 0.3133709132671356, 0.31333258748054504, 0.3133140206336975]",1.0
4000,18,"[0.3180916905403137, 0.31521040201187134, 0.31368666887283325, 0.3135615587234497, 0.31341737508773804, 0.31349116563796997, 0.3133588135242462, 0.3133445978164673, 0.3132961690425873, 0.313344269990921]",1.0
4000,20,"[0.3540676236152649, 0.3196861445903778, 0.3145292103290558, 0.3140887916088104, 0.3135443329811096, 0.3135479688644409, 0.6921030879020691, 0.3239035904407501, 0.685374915599823, 0.34696462750434875]",0.74
