Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
9,80,16,"[0.4787866771221161, 0.46195188164711, 0.4525713324546814, 0.5155927538871765, 0.49486905336380005, 0.5852655172348022, 0.5118740797042847, 0.6048283576965332, 0.555378794670105, 0.6034048199653625]",0.675
9,80,32,"[0.5062606334686279, 0.5344409942626953, 0.5655075907707214, 0.4695461392402649, 0.5343226790428162, 0.5493433475494385, 0.5519519448280334, 0.5652245879173279, 0.5704209208488464, 0.5477838516235352]",0.48
9,160,2,"[0.36338478326797485, 0.34095296263694763, 0.33168473839759827, 0.32773905992507935, 0.3240356743335724, 0.3219377398490906, 0.32058238983154297, 0.3195756673812866, 0.3187834620475769, 0.3182803988456726]",0.865
9,160,4,"[1.0424854755401611, 0.8610963821411133, 0.8012607097625732, 0.7661632299423218, 0.744223952293396, 0.7301071286201477, 0.720661461353302, 0.7143968343734741, 0.7094013690948486, 0.697544276714325]",0.87
9,160,8,"[0.8757368922233582, 0.9131760001182556, 0.8320164680480957, 0.9435193538665771, 0.9700068235397339, 0.958197295665741, 0.8434418439865112, 1.0511839389801025, 0.7867772579193115, 0.966071367263794]",0.54
9,160,16,"[0.4867553114891052, 0.44583654403686523, 0.4674323499202728, 0.5530447959899902, 0.4614112377166748, 0.5282830595970154, 0.3885725736618042, 0.5969781875610352, 0.599101722240448, 0.5244815945625305]",0.59
9,160,32,"[0.8408433198928833, 0.8285882472991943, 0.7272146344184875, 0.7943275570869446, 0.8558616638183594, 0.7314391732215881, 0.7657086253166199, 0.8303622007369995, 0.7521247863769531, 0.7447363138198853]",0.575
10,5,2,"[0.9849669933319092, 0.9503759145736694, 0.8928307890892029, 0.8792721033096313, 0.8371585011482239, 0.8372265696525574, 0.822108268737793, 0.8198298215866089, 0.8082625269889832, 0.8074324131011963]",0.545
10,5,4,"[0.5583268404006958, 0.6012529730796814, 0.6345940232276917, 0.6533480286598206, 0.6663284301757812, 0.6752681732177734, 0.6807469725608826, 0.6841318607330322, 0.6865373849868774, 0.4857916831970215]",0.745
10,5,8,"[0.4574228525161743, 0.3670724928379059, 0.3482283055782318, 0.3181092143058777, 0.3166639804840088, 0.31567224860191345, 0.3149350881576538, 0.3144432008266449, 0.31406256556510925, 0.31398680806159973]",0.895
10,5,16,"[0.7859567999839783, 0.7165818810462952, 0.701826810836792, 0.6968814134597778, 0.6954362392425537, 0.6945376992225647, 0.6943341493606567, 0.6940159201622009, 0.6937799453735352, 0.6935837864875793]",0.875
